Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Worth the Fighting For: A Memoir,"By McCain, John and Salter, Mark","In 1999, John McCain wrote one of the most acclaimed and bestselling memoirs of the decade, Faith of My Fathers. That book ended in 1972, with McCain’s release from imprisonment in Vietnam. This is the rest of his story, about his great American journey from the U.S. Navy to his electrifying run for the presidency, interwoven with heartfelt portraits of the mavericks who have inspired him through the years—Ted Williams, Theodore Roosevelt, visionary aviation proponent Billy Mitchell, Marlon Brando in Viva Zapata!, and, most indelibly, Robert Jordan. It was Jordan, Hemingway’s protagonist in For Whom the Bell Tolls, who showed McCain the ideals of heroism and sacrifice, stoicism and redemption, and why certain causes, despite the costs, are . . .Worth the Fighting ForAfter five and a half years as a prisoner of war in Vietnam, naval aviator John McCain returned home a changed man. Regaining his health and flight-eligibility status, he resumed his military career, commanding carrier pilots and serving as the navy’s liaison to what is sometimes ironically called the world’s most exclusive club, the United States Senate. Accompanying Senators John Tower and Henry “Scoop” Jackson on international trips, McCain began his political education in the company of two masters, leaders whose standards he would strive to maintain upon his election to the U.S. Congress. There, he learned valuable lessons in cooperation from a good-humored congressman from the other party, Morris Udall. In 1986, McCain was elected to the U.S. Senate, inheriting the seat of another role model, Barry Goldwater.During his time in public office, McCain has seen acts of principle and acts of craven self-interest. He describes both ex-tremes in these pages, with his characteristic straight talk and humor. He writes honestly of the lowest point in his career, the Keating Five savings and loan debacle, as well as his triumphant moments—his return to Vietnam and his efforts to normalize relations between the U.S. and Vietnamese governments; his fight for campaign finance reform; and his galvanizing bid for the presidency in 2000.Writes McCain: “A rebel without a cause is just a punk. Whatever you’re called—rebel, unorthodox, nonconformist, radical—it’s all self-indulgence without a good cause to give your life meaning.” This is the story of McCain’s causes, the people who made him do it, and the meaning he found. Worth the Fighting For reminds us of what’s best in America, and in ourselves."," Biography & Autobiography , Political",Random House,4.99,September,2002
Red Dragon Rising: Communist China's Military Threat to America,"By Timperlake, Edward and Triplett, William C., II","Timperlake, a former Marine fighter pilot and Triplett, a former Republican counsel to the Senate Foreign Relations Committee, characterize the Chinese government as a brutal, expansionist regime that has targeted America and its democratic allies with the most modern weapons of mass destruction. They also mention, in this election year, that the Clinton-Gore administration helped the Communists achieve their military ambitions and received campaign contributions from them. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Political Science , International Relations , General",Regnery Publishing,4.99,October,1999
All the Way Home,"By Giff, Patricia Reilly","It’s August 1941, and Brick and Mariel both love the Brooklyn Dodgers. Brick listens to their games on the radio in Windy Hill, in upstate New York, where his family has an apple orchard; Mariel, once a polio patient in the hospital in Windy Hill, lives in Brooklyn near the Dodgers’ home, Ebbets Field. She was adopted by Loretta, a nurse at the hospital, and has never known what happened to her own mother. Someday, somehow, she plans to return to Windy Hill and find out. When a fire destroys their orchard, Brick’s parents must leave the farm to find work. They send him to live in Brooklyn with their friend Loretta, even though Brick knows that their elderly neighbors need his help to pick what’s left of the apples. The only good thing about Brooklyn is seeing the Dodgers play–that, and his friendship with Mariel. Maybe, together, they’ll find a way to return to Windy Hill, save the harvest, and learn the truth about Mariel’s past."," Juvenile Fiction , Family , General",Delacorte Books for Young Readers,5.29,October,2001
Totline 123 Rhymes Stories & Songs ~ Open-Ended Language (1-2-3 Series) Ages 3-6,"By Warren, Jean",,,"Warren Publishing House, Inc.",5.29,March,1992
"Pineapples, Penguins and Pagodas (Kids' Stuff)","By Keeling, Jan (EDT) and Jinkins, Barbara",," Travel , Essays & Travelogues",Incentive Publications,5.29,January,1993
The Book of Ch'I: Harnessing the Healing Forces of Energy,"By Wildish, Paul",," Religion , Spirituality",Tuttle Pub,13.98,October,2000
Being Little in Cambridge When Everyone Else Was Big,"By Abbott, Eleanor Hallowell",,,"D. Appleton-Century company, incorporated",29.29,January,1936
The Hero Within,"By Pearson, Carol S.","A modern classic of Jungian psychology, The Hero Within has helped hundreds of thousands of people enrich their lives by revealing how to tap the power of the archetypes that exist within. Drawing from literature, anthropology, and psychology, author Carol S. Pearson clearly defines six heroic archetypes—the Innocent, the Orphan, the Wanderer, the Warrior, the Altruist, and the Magician—and shows how we can use these powerful guides to discover our own hidden gifts, solve difficult problems, and transform our lives with rich sources of inner strength.This book will speak deeply to the evolving hero in all of us and reverberate through every part of our lives. With poignant wisdom and prolific examples, it gives us enduring tools to help us develop our own innate heroic gifts—the Orphan's resilience, the Wanderer's independence, the Warrior's courage, the Altruist's compassion, the Innocent's faith, and the Magician's abiding power.",,HarperOne,5.29,May,1989
Western,"By Yerby, Frank","Harvard-educated Massachusetts Yankee Ethan Lovejoy, haunted by the brother he killed in the Civil War, travels west to Kansas, marries Anne Jeffreys along the way, and builds one of the Great Plains's largest homesteads"," Fiction , General",Doubleday,16.16,August,1982
Numbers (Wipe-Off Activity Books),By,,,Learning Horizons,5.29,May,2002
Baroque Painting (Barron's Art Handbooks: Yellow Series),By Parramon's Editorial Team (COR),," Art , History , General","Barron's Educational Series, inc",5.29,August,1998
