Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
What To Cook When You Think There's Nothing in the House To Eat: More Than 175 Easy Recipes And Meal Ideas,"By Schwartz, Arthur","If you like to eat well but don't relish the thought of going to the supermarket on a rainy Sunday afternoon or are too tired to shop after work, this is the cookbook for you. What to Cook When You Think There's Nothing in the House to Eat puts your pantry to work, showing you how pasta, beans, canned tuna, eggs, and cheese can form the basis of nutritious, tasty, and easy meals. There are tips on selecting, purchasing, and storing ingredients, along with recipes that feature each ingredient. A box of spaghetti, for example, ""lasts longer than most marriages."" Add olive oil, garlic, and a pinch of hot pepper, and you've got a meal -- Spaghetti Aglio Olio -- that anyone would applaud. This is not fancy food. It's everyday fare for those with even the most basic cooking skills."," Cooking , General",Harper Perennial,5.29,February,2000
Little Vegetarian Feasts: Main-Dish Grains,"By Shulman, Martha Rose and Drechsler, Debbie (ILT)","Gathers international-style main dish recipes that feature rice, grits, couscous, bulgur, and quinoa"," Cooking , General",Bantam,10.98,May,1993
Stir-Fry (Sunset Creative Cooking Library),By Sunset Books,," Cooking , Methods , Wok",Sunset Pub Co,5.29,October,1994
Collected Stories of Reynolds Price,"By Price, Reynolds","For over three decades, Reynolds Price has been one of America's most distinguished writers, in a career that has been remarkable both for its virtuosity and for the variety of literary forms he has embraced. Now he shows himself as much a master of the story as he is of the novel, in a volume that presents fifty stories, including two early collections - The Names and Faces of Heroes and Permanent Errors - as well as more than two dozen new stories that have never been gathered together before.In his introduction, Mr. Price explains how, after the publication of his first two collections, he wrote no new stories for almost twenty years. ""But once I needed - for unknown reasons in a new and radically altered life - to return to the story, it opened before me like a new chance...A collection like this then,"" he adds, ""...will show a writer's pre-occupations in ways the novel severely rations (novels are partly made for that purpose - the release from self, long flights through the Other). John Keats's assertion that 'the excellence of every Art is its intensity' has served as a license and standard for me. From the start my stories were driven by heat - passion and mystery, often passion for the mystery I've found in particular rooms and spaces and the people they threaten or shelter - and my general aim is the transfer of a spell of keen witness, perceived by the reader as warranted in character and act.""There is, indeed, much for the reader to ""witness"" here of passion and mystery, of character and act. And the variety of stories - many of them set in Reynolds Price's native North Carolina, but a surprising number set in distant parts: Jerusalem in ""An Early Christmas,"" the American Southwest in ""Walking Lessons,"" and a number in Europe - will astonish even his most devoted readers. In short, The Collected Stories of Reynolds Price is as deeply rewarding a book as any he has yet published."," Fiction , Short Stories (single author)",Scribner,6.24,June,1993
DIY Girl,"By Gesue, Monica (ILT) and Bonnell, Jennifer","You don't have to be Martha Stewart to make your own cool stuff. All you need is the inspiration and this totally hip, oh-so collectible step-by-step guide, and VOILÀ! you've got-  ? all the jewelry you could ever wear ? your very own brand of beauty products ? a sassy new wardrobe ? personalized birthday gifts for all your friends ? a totally original bedroom  and tons more!  So, while shopping's fun and all, there's nothing quite like putting your original touch on things and saving some dough while you're at it. D.I.Y. Girl is the one place you'll find everything you need to do just that.  Illustrated by Monica Gesue"," Young Adult Nonfiction , Crafts & Hobbies",Puffin,5.29,June,2003
The Divine Pastime: Theatre Essays,"By Clurman, Harold",,,MacMillan Publishing Company.,5.29,January,1974
What's Bred in the Bone (Cornish Trilogy),"By Davies, Robertson","Francis Cornish was always good at keeping secrets. From the well-hidden family secret of his childhood to his mysterious encounters with a small-town embalmer, an expert art restorer, a Bavarian countess, and various masters of espionage, the events in Francis’s life were not always what they seemed. In this wonderfully ingenious portrait of an art expert and collector of international renown, Robertson Davies has created a spellbinding tale of artistic triumph and heroic deceit. In this second book of the Cornish Trilogy, Davies spins a tale told in stylish, elegant prose, endowed with lavish portions of his wit and wisdom. ""A deliciously readable story...An altogether remarkable creation, his most accomplished novel to date."" --  The New York Times"," Fiction , Biographical",Viking,4.99,November,1985
Mastering the Zone: The Next Step in Achieving SuperHealth and Permanent Fat Loss,"By Sears, Barry and Goodbody, Mary","Everyone from Madonna to Howard Stern to the cast of Baywatch is in ""the Zone"" -- and now ""Zone""-favorable cuisine is tastier than ever! Dr. Barry Sears, author of the No.1 New York Times bestseller and health phenomenon, The Zone (more than 600,000 hardcover copies sold!), is back with an exciting new book teeming with tantalizing recipes and insightful information that will deepen readers' understanding of this revolutionary health and fitness program that has become the regimen of the '90s.Flying in the face of conventional dietary thinking, and after years of comprehensive scientific research, Dr. Sears discovered that ""eating fat doesn't make you fat."" His phenomenally successful first book, The Zone, introduced the world to to groundbreaking health plan that for hundreds of thousands of readers has become the magic key to maintaining a consistent level of physical and mental well-being -- a healthful state known as ""The Zone."" Now Dr. Sears takes his breakthrough scientific discoveries and stunning success a step further with Mastering the Zone, which not only presents delicious, completely original Zone-favorable recipes that are easy to prepare and taste as good as they are good for you, but also offers a practical guide to fine-tuning your place in the Zone.From entrees to appetizers to desserts, there is something here for every taste and every occasion. Appearing throughout is Dr. Sears' enlightening new information for readers interested in educating themselves further about the Zone -- the health regimen that succeeds where millions of others have not."," Health & Fitness , Diet & Nutrition , Diets",Regan Books,4.99,January,1997
North Carolina Lighthouses,By David Stick,,,Dept of Cultural Resources & History,4.99,June,1984
"Analyzing Performance Problems, or You Really Oughta Wanna","By Robert Frank Mager, Peter Pipe",,,Pitman Management and Training,5.29,January,1984
Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),"By Pipher, Mary Bray","1. Why are kids having more trouble coming of age in 2000? 2. Discuss the differences in childhood and in parenting between your era and today. What was better, or worse? How can we preserve the best of both eras for our children? 3. How do we build a sense of community in our neighborhoods today? How can we help other people's children? What institutions can help us? 4. How do we balance the need to protect our children with the need to raise them free of unnecessary fear? 5. What useful work do we have for children in our community? 6. What can we do to fight violent and sexualized media and the omnipresence of marketing to children? 7. What experience in adolescence are mostly girls' experiences? What experiences are mostly unique to boys? What issues are shared by both genders? 8. What do you think a typical school day is like in the life of your child? (Your students?) 9. How can schools and families protect girls from eating disorders? How can we hold advertisers and media more accountable for their images of young women? 10. How has our culture changed for girls since Reviving Ophelia was written? Discuss both negative and positive changes. 11. How do computers affect girls' social and emotional development? 12. How can we help girls hold on to their true selves? 13. What role do sports play in girls' development? 14. Why do girls argue so much with their mothers and what can be done about it? 15. How can fathers help their daughters through adolescence? 16. What are the signs of depression in teens and when should a family seek professional help? 17. What guidelines and policies should parents have about their children's friends? 18. How can we keep our teens connected to older and younger people and not isolated in peer culture? 19. What is a good school harassment policy? 20. How do we teach boys to respect women and girls? 21. What are some differences in adolescence across ethnic groups--specifically African-American, Asian, and Hispanic? 22. What is your policy about movies, television, music, and computers? How do you enforce it? What are the relative merits of protecting children from media versus exposing them to media but processing it with them and helping them understand it? 23. How can we teach children to behave properly? 24. How do we teach values to our children?"," Family & Relationships , Life Stages , Adolescence",Ballantine Books,4.99,February,1995
Napoleon and Hitler,"By Seward, Desmond","Examines the possible similarities between two of the world's worst military dictators. The link: Carl von Clausewitz's treatise,  On war , which draws extensively on Napoleon's battles and which Hitler read and re-read. Sparse notes. Annotation copyright Book News, Inc. Portland, Or."," History , Europe , Western",Viking,5.36,May,1989
Encounter and Encouragement: A Bicentennial Review of German-American Relations,By Joachim Hans Schwelien,,,Bonner Universitats Buchdruckerei,4.99,January,1976
Too Busy to Clean,"By Barrett, Patti","Contains more than five hundred terrific organizational tips for making housework easier, including advice on techniques for making the most of one's time, lightening the load of housework, and winning the battles of the household war."," House & Home , Cleaning & Caretaking",Random House Value Publishing,5.72,February,1994
Keeping Your Kids Catholic: It May Seem Impossible but It Can Be Done,By Bert Ghezzi,," Religion , General",Servant Pubns,4.99,October,1989
Vines (Burpee American Gardening Series),"By Bales, Suzanne Frutig","A beautifully illustrated guide to vertical gardening provides detailed instructions and advice on the selection, cultivation, and care of more than forty species--and multiple varieties--of vines and climbing roses. Original."," Gardening , General",Macmillan General Reference,5.29,February,1995
Roads to Antietam,"By Schildt, John W.",," History , Military , Wars & Conflicts (Other)",Burd Street Pr,5.29,May,1997
Nursery Rhymes: A Collection from Mother Goose (Illustrated Library for Child.),"By Hale, Glorya (EDT), Anderson, Anne, Lee, Ella Doldar, Anderson, Anne (ILT), and Lee, Ella Doldar (ILT)",," Juvenile Fiction , Nursery Rhymes",Derrydale,5.29,September,2000
The Art of Cooking with Herbs & Spices,"By Miloradovich, Milo",,,Doubleday,5.29,January,1950
The uncommon cookbook,"By Mellinkoff, Ruth",,,W. Ritchie Press,24.26,January,1968
List Your Self: Listmaking as the Way to Self-Discovery,"By Segalove, Ilene and Velick, Paul Bob",," Body, Mind & Spirit , Inspiration & Personal Growth",Andrews McMeel Publishing,4.99,September,1996
The Insider's Guide to Getting Published: Why They Always Reject Your Manuscript and What You Can Do About It,"By Boswell, John",," Reference , General",Main Street Books,4.99,December,1996
"Walking the Cat by Tommy "" Tip"" Paine: Gordon Liddy Is My Muse II","By Batchelor, John Calvin",Spy writer Tip Paine comes to the rescue of a neighbor who is being blackmailed by Seoul gangsters and becomes enmeshed in an Asian money war with global implications," Fiction , General",Linden Pub,5.8,April,1991
The Theory of the Modern Stage: An Introduction to Modern Theatre and Drama,By Eric  Bentley,,,Penguin Books,4.99,November,1976
Mistler's Exit,"By Begley, Louis","Thomas Mistler has always thought himself ""a happy man, as the world goes."" A scion of old money, he made his own fortune in advertising and is now poised to sell the company he founded for a fabulous price. But when a medical examination reveals the presence in his liver of a fatal intruder, ""preposterously, unmistakably, he begins to rejoice,"" with a feeling of having been set free. But free from what?He will seek the answer surreptitiously, without revealing his illness to his family, during a last reprieve, a moment of grace in ""the one place on earth where nothing irritates him."" But amidst the surreal beauties of Venice, he finds bitterness and chaos as he allows himself to drift for the first time. His halfhearted efforts to seize the day and its present pleasures - first with a striving young photographer and later with a love of his youth who never loved him - cannot compete with his need to commune with the living and the dead that crowd his life: his father and uncle, pillars of the Establishment, sources of the ""genetic puritanism"" he has never tried to resist; his son, Sam, whose love he has only barely salvaged; his wife, once perfectly ""beautiful and suitable,"" now humiliated by him and half-scorned. And the one woman who embodies everything he might have wished for, a woman he ""never had and never lost."""," Fiction , General",Knopf,4.99,September,1998
Small Patchwork & Quilting,"By Linsley, Leslie, Aron, Jon (PHT), and Savonen, Robby (ILT)","Introduces quilting and patchwork techniques and suggests projects for making baby quilts, pillows, place mats, wall hangings, duffel bags, and Christmas ornaments"," Art , General",Meredith Pr,10.99,August,1993
A Portfolio of Outdoor Furnishing Ideas (Portfolio Ofideas),"By Cowles Creative Publishing, Cy Decosse Inc",," Architecture , Interior Design , General",Cowles Creative Publishing,4.99,December,1996
Cooking With Helen McCully Beside You,"By McCully, Helen",,,Random House,8.79,January,1970
Christopher Idone's Glorious American Food,"By Idone, Christopher",," Cooking , General",Random House,10.99,December,1985
Family portrait,"By Bowen, Catherine Drinker",,,Little Brown,6.72,January,1970
The Whole Shebang: A State-of-the-Universe(s) Report,"By Ferris, Timothy","From the world-acclaimed author of Coming of Age in the Milky Way comes this delightfully engrossing, comprehensive, and comprehensible report on how science today envisions the universe as a whole.Timothy Ferris begins The Whole Shebang with a succinct account of how we have come to know what we know about the universe. Then he explains the meaning behind the exciting new developments that have put cosmology in the headlines -- including the discovery of planets orbiting stars other than our sun, glimpses through the Hubble Space Telescope of how the universe looked when it was only a fraction of its present age, and the detection of structure in relic radiation from the big bang that may hint at the mechanisms of genesis.Ferris provides a lucid, nontechnical overview of current research and a forecast of where cosmological theory is likely to go in the twenty-first century. A master analogist, he presents accessible explanations of relativity and quantum physics, ""inflationary"" models indicating that the universe is much larger than had been thought, and ""string"" theories that portray all matter as made of space.The centerpiece of The Whole Shebang is a visionary account of near-future science, in which light is shed on the possibility that our universe is one among many universes, each with different physical laws and differing prospects for the emergence of life.The Whole Shebang explores questions that have occurred to even casual readers who are curious about nature on the largest scales: What does it mean to say that the universe is ""expanding,"" or that space is ""curved""? How could there have been an ""origin"" of the universe; what happened ""before""? Why is quantum uncertainty so puzzling to many scientists, and why do some regard it as one of theWritten with the literary flair that earned Ferris the accolade ""the greatest science writer in the world,"" The Whole Shebang interweaves probing scientific explication, lyrical descriptions, and finely honed profiles of the lives and personalities of the scientists and philosophers who have contributed to human understanding of the cosmos. Above all, it demonstrates that for all its abstractions, cosmology -- the scientific study of the universe as a whole -- is a very human activity whose theories and observations must ultimately answer to the human mind."," Science , Cosmology","Simon & Schuster, Inc.",8.29,January,1997
Eating Well for Optimum Health: The Essential Guide to Bringing Health and Pleasure Back to Eating,"By Weil, Andrew","At last, a book about eating (and eating well) or health -- from Andrew Weil, the brilliantly innovative and greatly respected doctor who has been instrumental in transforming the way Americans think about health. Now Dr. Weil -- whose nationwide bestsellersSpontaneous Healing and Eight Weeks to Optimum Health have made us aware of the body's capacitiy to heal itself -- provides us with a program for improving our well-being by making informed choices about how and what we eat.Dr. Weil makes clear how an optimal diet can both supply the basic needs of the body and fortify the body's defenses and mechanisms of healing. And he always stresses that good food -- and the good feeling it engenders at the table -- is not only a delight but also necessary to our well being so that eating for health means enjoyable eating.Eating Well for Optimum Health is a hugely practical and inspiring book about food, diet and nutrition that stands to change -- for the better and the healthier -- our most fundamental ideas about eating."," Health & Fitness , Diet & Nutrition , Nutrition",William Morrow Paperbacks,4.99,March,2001
Teverton Hall,"By Gillespie, Jane","The author of ""Ladysmead"" takes up a thread from Jane Austen's ""Pride and Prejudice"" as she continues the story of the ludicrously self-satisfied Reverend William Collins"," Fiction , Romance , Historical",St Martins Pr,4.99,March,1984
Inference of guilt,"By Greene, Harris",,,Doubleday,36.2,January,1982
Lines in the Sand: Desert Storm and the Remaking of the Arab World,"By Amos, Deborah","For many Americans, the Gulf War served as an introduction to a part of the world about which they knew virtually nothing. It provided a kind of mass-marketed crash course in Middle Eastern politics, tradition, and history.But what did they learn?In Lines in the Sand, veteran Middle East journalist Deborah Amos provides a unique perspective on the war, looking beyond the stories that were reported over and over to get at the truth about the events that led up to the conflict, and to examine a year later the effects it had on the people of the region.Among the issues she explores are how America armed Hussein, providing him with much of the power and expertise he demonstrated in overrunning Kuwait; how the collapse of the Soviet Union led to dramatic changes in U.S. policy toward Iraq, which the Americans had supported in its long war with Iran; how the rich Arabs of the Gulf states found a common strategy with their poorer neighbors; how the PLO, forced to deal with an intra-Arab conflict that included Israeli influence on one side, came to support Hussein; how Saudi domestic policies affected U.S. military strategies how the burgeoning resistance movement in Kuwait was crushed after the war; and, how, despite the war and the upheaval among so many nations, very little of substance has truly changed.Deborah Amos brings a fresh perspective to the war, with new insights into the region's history and culture. She explores the volatility of the region and concludes that it is as unstable now as before. Most significantly, she looks at the war not just from a U.S. perspective, but from the point of view of Kuwait, Jordan, Saudi Arabia, and Syria.Lines in the Sand is dramatic war reporting at its best, by a top female journalist covering the first war in which the American military put women on the frontlines--and, ironically, from a place in which women aren't even allowed to drive."," History , General",Simon & Schuster,5.51,July,1992
The Witling,"By Vinge, Vernor","This second novel by multiple award-winner Vernor Vinge, from 1976, is a fast-paced adventure where galactic policies collide and different cultures clash as two scientists and their faith in technology are pitted against an elusive race of telekinetic beings. Marooned on a distant world and slowly dying of food poisoning, two anthropologists are caught between warring alien factions engaged in a battle that will affect the future of the world's inhabitants and their deadly telekinetic powers. If the anthropologists can't help resolve the conflict between the feuding alien factions, no one will survive. This edition features sixteen full-page illustrations by Doug Beekman."," Fiction , Science Fiction , General",Bluejay,20.85,May,1986
The Courage to Be Rich: Creating a Life of Material and Spiritual Abundance,"By Orman, Suze","""What would it take for you to change the course of your life?"" reads the first sentence of The Courage to Be Rich, a book that goes beyond the phenomenal success of The 9 Steps to Financial Freedom in challenging and inspiring us to realize our full financial potential, and to realize as well that the bottom line of life is comprised of much more than money. Why does it take courage to be rich? Because it takes courage to meet every obstacle and opportunity of life, to forgive ourselves and others for past mistakes, to imagine and achieve a future rich with possibility.   With her signature blend of inspirational and practical advice, Suze Orman asks us to look within, asserting her powerful conviction that once we achieve a state of emotional clarity regarding money, financial clarity will always follow. She guides us through a lifetime of financial issues, from relationships and prenuptial agreements to investment options, from the money we spend in daily life to the money we need for tomorrow. Finally, Suze takes on the seldom-explored subject of money and grace, the rewards it bestows and the responsibilities it confers.   Suze Orman may be the only financial planner for whom words like ""hope,"" ""acceptance,"" and ""courage"" are part of her daily lexicon. The Courage to Be Rich is a book that will change our very definitions of wealth and abundance."," Business & Economics , Personal Finance , Taxation",Riverhead Hardcover,4.99,March,1999
Our Nature,"By Gilbert, Bill","A collection of essays on natural history includes discussions of falconry, rattlesnakes, winter camping, grizzly bears, and influential naturalists"," Science , General",University of Nebraska Press,5.29,August,1987
The Gift of Sex: A Guide to Sexual Fulfillment,"By Penner, Clifford and Penner, Joyce","Clifford and Joyce Penner, clinical therapist and nurse have written a sensitive and forthright guide to understanding sexuality and how it fits into God's design for marriage. This revised and updated version features a new introduction, new illustrations, a section on addictions and the Internet, and a timely discussion on sexually transmitted diseases and their consequences. With the latest information on sexuality and intimacy, this best-selling book is ideal whether you are newlyweds or have been married for many years.Chapters include: The Physical DimensionThe Total ExperienceMoving Past Sexual BarriersResolving DifficultiesFinding Help"," Religion , Christian Life , General",Thomas Nelson Inc,4.99,June,1981
Basic Principles of Classical Ballet,"By Vaganova, A. Ia.","Although the stars of Russian ballet Anna Pavlova and Tamara Karsavina possessed a national manner of dancing, there was no truly Russian school of dancing until the 1930s. The development of this school was largely due to Mme. Vaganova (1879–1951), not only a great dancer but also the teacher of Galina Ulanova and many others and an unsurpassed theoretician.The principles of Vaganova's system are presented in this well-known book. Mme. Vaganova's aim of creating a personal approach to the Russian dance was based on the critical assimilation of the experience of her contemporaries. Her ability to choose the best of what had been accomplished in the various ballet traditions (French, Italian, and Russian) and combine these into a unified teaching practice in itself amounted to a new school of dance. She firmly believed that the teaching process should be a planned exercise, ever changing with innovations in the dance. She sought from her pupils emotional expressiveness, strictness of form, a resolute, energetic manner of performance, and the understanding of the underlying coordination of movements.Her book discusses all basic principles of ballet, grouping movements by fundamental types. Chapters cover battements, rotary movements of the legs, the arms, poses of the classical dance, connecting and auxiliary movements, jumps, beats, point work, and turns as well as material for a sample lesson. Diagrams show clearly the exact foot, leg, arm, and body positions for the proper execution of many steps and movements. The result is a fundamental theory of dance that offers dancers, teachers, and ballet lovers information often difficult to locate in other books. 118 illustrations."," Performing Arts , Dance , Classical & Ballet",Dover Publications,4.99,June,1969
The Biblical Road to Blessing,"By Hinn, Benny",El inalterable amor de Dios y su deseo de bendecir a sus hijos que le obedecen.," Religion , Christian Life , Spiritual Growth",Thomas Nelson Inc,4.99,October,1996
Remembered Laughter: The Life of Noel Coward. Orig Pub in Great Britain Under Title: Life of Noel Coward,"By Lesley, Cole",,,Random House,10.99,November,1976
Peanuts: A Golden Celebration: The Art and the Story of the World's Best-Loved Comic Strip,"By Schulz, Charles M. and Larkin, David (EDT)","Will Charlie Brown ever get to kick the footballs? Will Schroeder finally return Lucy's love? Will Linus give up his security blanket? Will Peppermint Party ever pass a test? And, most importantly will Snoopy--that canine literary ace--ever be published?  ""To take a blank piece of paper and draw characters that people love and worry about is extremely satisfying.  It really does not matter what you are called or where your work is placed as long as it brings some kind of joy to some person some place."" -- Charles SchulzPeanuts: A Golden Celebration honors the momentous 50th anniversary of Charlie Brown and the gang with over 1,000 carefully selected strips that tell the story of Peanutslike no other book before.  In Schulz's own words we learn how he came to create the world's most popular comic strip characters from nostalgic and sometimes painful memories of growing up--such as the agony of classroom Valentine exchange and the longing for a little red-haired girl. From the debut of Peanuts on October 2, 1950, to the golden jubilee, here are fifty years of the favorite episodes and the...""firsts,"" such as the first time Lucy pulled the football away from Charlie Brown.  Included are scenes from the beloved Charlie Brown television. specials and the latest revival of the Broadway musical, You're a Good Man, Charlie Brown. These are the strips and events that have made Peanuts an awesome phenomenon, appearing in 2,600 newspapers worldwide everyday.  Not bad for a round-headed kid called Charlie Brown. Let the celebration begin!"," Art , Techniques , Cartooning",HarperCollins,10.99,September,1999
Other loyalties;: A politics of personality,"By Brower, Brock",,,Atheneum,8,January,1968
The Language of Life: A Festival of Poets,"By Moyers, Bill D., Grubin, David, and Haba, James","""Poets live the lives all of us live,"" says Bill Moyers, ""with one big difference. They have the power--the power of the word--to create a world of thoughts and emotions other can share. We only have to learn to listen.""In a series of fascinating conversations with thirty-four American poets, The Language Of Life celebrates language in its ""most exalted, wrenching, delighted, and concentrated form,"" and its unique power to re-create the human experience: falling in love, facing death, leaving home, playing basketball, losing faith, finding God. Listening to Linda McCarriston's award-winning poems about a child trapped in a violent home, or to Jimmy Santiago Baca explaining how words changed his life in prison, or to David Mura describing his Japanese American grandfather's experience in relocation camps, or to Sekou Sundiata stitching the magic of his childhood church in Harlem to the African tradition of storytelling, or to Gary Snyder invoking the natural wonder of mountains and rivers, or to Adrienne Rich calling for honesty in human relations, all testify to the necessity and clarity of the poet's voice, and all give hope that from such a wide variety of racial, ethnic, and religious threads we might yet weave a new American fabric.""'Listen,' said the storytellers of old, 'listen and you shall hear,'"" explains Bill Moyers. The Language Of Life is a joyous, life-affirming invitation to listen, learn, and experience the exhilarating power of the spoken word.From the Trade Paperback edition."," Poetry , General",Bantam Doubleday Dell,10.99,July,1995
The Shutterfly Guide to Great Digital Photos (CLS.EDUCATION),"By Johnson, Dave and Housenbold, Jeffrey","Jeff Housenbold of Shutterfly.com--a leading online digital photo print service--and Dave Johnson, best-selling digital photography author, have written the ideal how-to book for anyone looking to take great digital photos. They cover the basics of how digital cameras work and offer easy-to-follow guidance and general photography tips--from composition and lighting to shooting action shots and getting compelling close-up images. The book covers:  Image editing, including cropping and resizing Adding text, objects, and special effects  Getting quality prints from an online service or a home printer Creating greeting cards, calendars, stickers, posters, and more"," Computers , Programming , Games",McGraw-Hill Professional,4.99,November,2008
Henry VIII and His Court,"By Williams, Neville","Contemporary portraits, prints, and documents vividly illuminate the personalities, intrigues, and events of the English monarch's reign"," History , General",Macmillan Pub Co,8.79,October,1971
The New Grove Mozart,"By Sadie, Stanley","Depicts the life of the Austrian composer, Wolfgang Amadeus Mozart, describes his musical career, and examines the development of his music"," Biography & Autobiography , Composers & Musicians",W W Norton & Co Inc,5.29,February,1983
Short bike rides in New Jersey,"By Santelli, Robert","Suggests thirty bike routes in each region of New Jersey, and provides information on length, difficulty, terrain, and points of interest for each ride",,Globe Pequot Press,4.99,January,1988
Pledged: The Secret Life of Sororities,"By Robbins, Alexandra","Now in paperback, the New York Times bestseller--with over 91,000 copies in print--that takes you behind closed doors to see what really goes on in America's sororities.Ever wonder what sorority life is really like? In Pledged, bestselling author Alexandra Robbins goes undercover to expose the dark side of collegiate sisterhood--the psychological abuse, hazing rituals, and widespread body image disorders--while at the same time introducing us to many of the intelligent, successful women within its ranks. The result is a compelling sociological exploration of the powerful influence that these organizations wield over young women today. With its fly-on-the-wall voyeurism and remarkable insight, Pledged paints a sharp-eyed portrait of the intriguing and paradoxical world of modern-day sororities."," Social Science , Women's Studies",Hachette Books,4.99,July,2005
Smoky Mountains Trout Fishing Guide,"By Kirk, Don",," Sports & Recreation , Fishing",Menasha Ridge Press,4.99,May,1995
A Thing or Two About Soccer,"By Buckley, James, Teitelbaum, Michael, and Wolff, Rick (FRW)",," Sports & Recreation , Soccer",A Thing or Two Media,5.29,March,2001
Guide to Cults and New Religions,"By Enroth, Ronald","Discusses the history, beliefs, and practices of the Baha'i, Bhagwan Shree Rajneesh, est, Hare Krishnas, Jehovah's Witnesses, Mormons, Unification Church, and other modern cults"," Religion , Cults",Intervarsity Pr,4.99,March,1983
"Preparatory Piano Literature: Origianl Keyboard Classics With Optional Teacher Duets, Elementary (Developing Artist)","By Faber, Randall (COP), Faber, Nancy (COM), and Hansen, Jeanne (CON)",," Music , Musical Instruments , Piano & Keyboard",F J H Music Co,4.99,December,1990
Winter Has Lasted Too Long,"By Kavanaugh, James J",Our present need to allow feelings to emerge and develop a deeper awareness of the self and others is the poet's major concern,,Dutton,5.29,June,1977
"Iron Man: The Cal Ripken, Jr. Story","By Rosenfeld, Harvey","Since May 30, 1982, Cal Ripken, Jr., of the Baltimore Orioles hasn't missed a game - a marathon performance during which he has won the 1982 Rookie of the Year Award, two American League MVP awards, an All-Star Game MVP award, two Gold Gloves, and a World Series title. Now Cal is about to topple baseball's most unbreakable record - Lou Gehrig's incredible streak of 2,130 consecutive games played.Iron Man chronicles Junior's ascent to superstardom. What was it like playing baseball with a father as manager and a brother as a double-play combination? How did his father's firing and his brother's trade affect him? What made him choose the strike over the Streak?"," Sports & Recreation , Baseball , General",St Martins Pr,4.99,September,1995
The Only Way I Know,"By Ripken, Cal, Jr. and Bryan, Mike","He says it's no big deal - he simply shows up for his job every day, just like millions of other working people. But when Baltimore Orioles shortstop Cal Ripken, Jr., reported to the baseball field on September 6, 1995, for a record-breaking 2,131st consecutive time, Americans felt otherwise. In an era of big-money sports, strikes, and grandstanding, the hardest-working ballplayer in the world had single-handedly put the ""great"" back in America's greatest game.Now, with the candor and grace that have endeared him to fans, Ripken tells the story of his journey to that moment and beyond.Best of all, Cal takes us inside the brain of one of the game's smartest players. He dissects the dedication to craft it takes to be a shortstop - especially when you're six-foot-four. He takes us through his strategies at the plate and in the field, his attention to the tiniest detail of positioning, or glove selection, or batting stance. It's a private lesson with one of the true masters of the art of playing baseball.Cal Ripken knows what it means to make a commitment, like the one he's made to his hometown and its team for his whole career, and to his own family. In this rich and rewarding memoir, we find out why he gives back as much as he takes from the game and the fans - it's the only way he knows."," Biography & Autobiography , Sports",Viking Adult,4.99,May,1997
Knots on a Counting Rope (Reading Rainbow Books),"By Rand, Ted (ILT), Martin, Bill, and Archambault, John","In this poignant story, the counting rope is a metaphor for the passage of time and for a boy's emerging confidence in facing his blindness. ""A rich tale of intergenerational love and respect.... It is a moving collaborative effort that reverberates long after the book is closed."" --Publishers Weekly, starred review"," Juvenile Fiction , Disabilities & Special Needs",Square Fish,4.99,September,1997
New Ways With Fresh Flowers: 50 Inspirational Projects for Contemporary Floral Designers,"By Barnett, Fiona",,,Smithmark Pub,10.99,January,1996
QPB Encyclopedia of Word & Phrase Origins,"By Hendrickson, Robert",,,Facts on File Inc.,8.14,January,1998
German A La Cartoon,"By Small, Albert H. (EDT)",," Foreign Language Study , German",McGraw-Hill Education,5.29,November,1990
The Complete Idiot's Guide to Getting Published,"By Bykofsky, Sheree and Sander, Jennifer Basye","The Complete Idiot's Guide to Getting Published expertly guides you through the entire publishing business, from creating sensational ideas to writing eye-grabbing query letters, and from negotiating contracts to working with your editor and promoting the book when it's done.  It provides clever ways to research the market and size up the competition, gives expert advice on finding the right agent, and includes a sample proposal, agent agreement, book contract, and press release."," Language Arts & Disciplines , Publishing",Alpha,5.29,June,1998
Death Gets a Time-Out (Mommy-Track Mysteries),"By Waldman, Ayelet","A few years back, public defender Juliet Applebaum decided to switch gears and go from the fast lane to the carpool lane. Now she's a ""smart and fearless"" (Sue Grafton) stay-at-home mom and part-time sleuth. She loves her kids. But she also loves herself enough to know when it's time to take a break - and get out of the house...Maybe some women have no problem juggling lunchboxes, piano lessons, and baby-sitters. But Juliet isn't one of them. Lately, she's been a little forgetful. In fact, she's likely to be found serving breakfast for dinner and walking around with toilet paper stuck to her shoe. Which explains why she very nearly overlooked the gala her best friend invited her to. A little makeup and a lot of hair gel and she's good to go...Beverages beyond juice-boxes and food beyond strained peas is just what she needs. And then she spots her old friend, actress Lilly Green. They hug, laugh, reminisce - and Lilly reveals her secret. Her brother is in jail, accused of killing his father's wife. Soon, Juliet's off to investigate. She visits the brother. Asks a lot of questions. Finds out about his drug addiction and his ties to a shady New Age religion. Gets yelled at by the other attorneys on the case for ""asking too many questions."" And then discovers that her famous friend may have played a role in the murder. It's enough to make her sick. Come to think of it, wasn't she sick just the other morning? Sickness. Morning. Oh no. Not again."," Fiction , Mystery & Detective , Women Sleuths",Berkley Hardcover,4.99,July,2003
